film_id,film,category,number_of_rentals
883,Tequila Past,Children,6
884,Terminator Club,Music,6
885,Texas Watch,Horror,6
886,Theory Mermaid,Animation,11
887,Thief Pelican,Animation,19
888,Thin Sagebrush,Documentary,11
889,Ties Hunger,Children,11
890,Tights Dawn,Sports,26
891,Timberland Sky,Classics,31
892,Titanic Boondock,Animation,23
893,Titans Jerk,Sci-Fi,29
894,Tomatoes Hellfighters,Travel,14
895,Tomorrow Hustler,Classics,25
896,Tootsie Pilot,Children,15
897,Torque Bound,Drama,27
898,Tourist Pelican,Sports,22
899,Towers Hurricane,Classics,11
900,Town Ark,Foreign,14
901,Tracy Cider,Animation,26
902,Trading Pinocchio,Sports,25
903,Traffic Hobbit,Travel,5
904,Train Bunch,Horror,4
905,Trainspotting Strangers,Comedy,11
906,Tramp Others,Comedy,20
907,Translation Summer,Drama,15
908,Trap Guys,Foreign,16
910,Treatment Jekyll,Drama,7
911,Trip Newton,Action,28
912,Trojan Tomorrow,Sci-Fi,19
913,Troopers Metal,New,14
914,Trouble Date,Travel,23
915,Truman Crazy,Action,23
916,Turn Star,Animation,14
917,Tuxedo Mile,Sports,13
918,Twisted Pirates,Children,11
919,Tycoon Gathering,Games,12
920,Unbreakable Karate,New,21
921,Uncut Suicides,Music,14
922,Undefeated Dalmations,Horror,21
923,Unfaithful Kill,Drama,8
924,Unforgiven Zoolander,Sci-Fi,18
925,United Pilot,Documentary,17
926,Untouchables Sunrise,Documentary,8
927,Uprising Uptown,Action,16
928,Uptown Young,Children,12
929,Usual Untouchables,Foreign,13
930,Vacation Boondock,Sci-Fi,21
931,Valentine Vanishing,Travel,12
932,Valley Packer,Comedy,15
933,Vampire Whale,New,12
934,Vanilla Day,Games,9
935,Vanished Garden,New,7
936,Vanishing Rocky,Music,18
937,Varsity Trip,New,16
938,Velvet Terminator,Comedy,26
939,Vertigo Northwest,Comedy,8
940,Victory Academy,Sports,9
941,Videotape Arsenic,Games,29
942,Vietnam Smoochy,Drama,15
944,Virgin Daisy,Drama,17
945,Virginian Pluto,Documentary,29
946,Virtual Spoilers,Family,14
947,Vision Torque,Foreign,7
948,Voice Peach,New,19
949,Volcano Texas,Games,22
951,Voyage Legally,Classics,28
952,Wagon Jaws,Documentary,10
953,Wait Cider,Animation,21
956,Wanda Chamber,Games,16
957,War Notting,Foreign,12
958,Wardrobe Phantom,Drama,27
959,Warlock Werewolf,Children,6
960,Wars Pluto,Documentary,10
961,Wash Heavenly,Foreign,23
962,Wasteland Divine,Classics,15
963,Watch Tracy,Animation,16
964,Waterfront Deliverance,Action,17
965,Watership Frontier,Horror,6
966,Wedding Apollo,Documentary,24
967,Weekend Personal,Sci-Fi,18
968,Werewolf Lola,Action,14
969,West Lion,Drama,16
970,Westward Seabiscuit,Classics,26
971,Whale Bikini,Foreign,18
972,Whisperer Giant,Sci-Fi,22
973,Wife Turn,Documentary,31
974,Wild Apollo,New,6
975,Willow Tracy,Family,16
976,Wind Phantom,Games,23
977,Window Side,Travel,12
978,Wisdom Worker,Comedy,9
979,Witches Panic,Drama,30
980,Wizard Coldblooded,Music,16
981,Wolves Desire,Travel,21
982,Women Dorado,Action,23
983,Won Dares,Music,9
984,Wonderful Drop,Foreign,9
985,Wonderland Christmas,Sci-Fi,22
986,Wonka Sea,Animation,18
987,Words Hunter,Music,16
988,Worker Tarzan,Travel,15
989,Working Microcosmos,Travel,25
990,World Leathernecks,Horror,8
991,Worst Banger,Action,16
992,Wrath Mile,Documentary,14
993,Wrong Behavior,Children,20
994,Wyoming Storm,New,13
995,Yentl Idaho,Horror,23
996,Young Language,Documentary,7
997,Youth Kick,Music,6
998,Zhivago Core,Horror,9
999,Zoolander Fiction,Children,17
1000,Zorro Ark,Comedy,31
